sep=;
null;EagerTest;LongMethod;LongParameterList;MessageChains;RefusedParentBequest;Total;
org.apache.ofbiz.base.conversion.test.TestJSONConverters;2;0;0;0;0;2
org.apache.ofbiz.base.test.GenericTestCaseBase;3;0;1;0;0;4
org.apache.ofbiz.base.util.string.test.FlexibleStringExpanderTests;1;1;1;0;0;3
org.apache.ofbiz.entity.util.EntitySaxReaderTests;1;0;0;0;0;1
org.apache.ofbiz.testtools.ModelTestSuite;1;1;0;1;0;3
org.apache.ofbiz.base.util.test.TimeDurationTests;0;1;1;0;0;2
org.apache.ofbiz.order.test.SalesOrderTest;0;1;0;0;1;2
org.apache.ofbiz.entity.test.EntityQueryTestSuite;0;1;0;0;0;1
org.apache.ofbiz.base.util.test.StringUtilTests;0;1;0;0;0;1
org.apache.ofbiz.shipment.test.IssuanceTest;0;1;0;0;1;2
org.apache.ofbiz.base.util.cache.test.UtilCacheTests;0;1;1;0;0;2
org.apache.ofbiz.base.util.collections.test.FlexibleMapAccessorTests;0;1;1;0;0;2
org.apache.ofbiz.base.util.test.AssertTests;0;1;0;0;0;1
org.apache.ofbiz.testtools.TestRunContainer;0;1;0;0;0;1
org.apache.ofbiz.entity.test.EntityTestSuite;0;1;0;0;0;1
org.apache.ofbiz.base.util.collections.test.GenericMapTest;0;1;0;0;0;1
org.apache.ofbiz.common.test.PerformFindTests;0;1;0;0;1;2
org.apache.ofbiz.order.test.OrderTestServices;0;1;0;0;0;1
org.apache.ofbiz.base.util.test.ObjectTypeTests;0;0;1;0;0;1
org.apache.ofbiz.base.lang.test.ComparableRangeTests;0;0;1;0;0;1
org.apache.ofbiz.widget.test.WidgetMacroLibraryTests;0;0;0;0;1;1
org.apache.ofbiz.shipment.thirdparty.usps.UspsServicesTests;0;0;0;0;1;1
org.apache.ofbiz.accounting.thirdparty.clearcommerce.CCServicesTest;0;0;0;0;1;1
org.apache.ofbiz.minilang.test.MiniLangTests;0;0;0;0;1;1
org.apache.ofbiz.service.test.ServiceSOAPTests;0;0;0;0;1;1
org.apache.ofbiz.product.test.InventoryItemTransferTest;0;0;0;0;1;1
org.apache.ofbiz.testtools.EntityXmlAssertTest;0;0;0;0;1;1
org.apache.ofbiz.order.test.FinAccountTest;0;0;0;0;1;1
org.apache.ofbiz.testtools.ServiceTest;0;0;0;0;1;1
org.apache.ofbiz.testtools.SimpleMethodTest;0;0;0;0;1;1
org.apache.ofbiz.service.test.ServiceEntityAutoTests;0;0;0;0;1;1
org.apache.ofbiz.service.test.ServiceEngineTests;0;0;0;0;1;1
org.apache.ofbiz.product.test.StockMovesTest;0;0;0;0;1;1
org.apache.ofbiz.service.test.XmlRpcTests;0;0;0;0;1;1
org.apache.ofbiz.accounting.test.FinAccountTests;0;0;0;0;1;1
org.apache.ofbiz.order.test.PurchaseOrderTest;0;0;0;0;1;1
org.apache.ofbiz.content.test.LuceneTests;0;0;0;0;1;1
org.apache.ofbiz.service.testtools.OFBizTestCase;0;0;0;0;1;1
;8;15;7;1;21;52;

;NumberOfSmells;
org.apache.ofbiz.base.conversion.test.TestJSONConverters;2;
org.apache.ofbiz.base.test.GenericTestCaseBase;4;
org.apache.ofbiz.base.util.string.test.FlexibleStringExpanderTests;3;
org.apache.ofbiz.entity.util.EntitySaxReaderTests;1;
org.apache.ofbiz.testtools.ModelTestSuite;3;
org.apache.ofbiz.base.util.test.TimeDurationTests;2;
org.apache.ofbiz.order.test.SalesOrderTest;2;
org.apache.ofbiz.entity.test.EntityQueryTestSuite;1;
org.apache.ofbiz.base.util.test.StringUtilTests;1;
org.apache.ofbiz.shipment.test.IssuanceTest;2;
org.apache.ofbiz.base.util.cache.test.UtilCacheTests;2;
org.apache.ofbiz.base.util.collections.test.FlexibleMapAccessorTests;2;
org.apache.ofbiz.base.util.test.AssertTests;1;
org.apache.ofbiz.testtools.TestRunContainer;1;
org.apache.ofbiz.entity.test.EntityTestSuite;1;
org.apache.ofbiz.base.util.collections.test.GenericMapTest;1;
org.apache.ofbiz.common.test.PerformFindTests;2;
org.apache.ofbiz.order.test.OrderTestServices;1;
org.apache.ofbiz.base.util.test.ObjectTypeTests;1;
org.apache.ofbiz.base.lang.test.ComparableRangeTests;1;
org.apache.ofbiz.widget.test.WidgetMacroLibraryTests;1;
org.apache.ofbiz.shipment.thirdparty.usps.UspsServicesTests;1;
org.apache.ofbiz.accounting.thirdparty.clearcommerce.CCServicesTest;1;
org.apache.ofbiz.minilang.test.MiniLangTests;1;
org.apache.ofbiz.service.test.ServiceSOAPTests;1;
org.apache.ofbiz.product.test.InventoryItemTransferTest;1;
org.apache.ofbiz.testtools.EntityXmlAssertTest;1;
org.apache.ofbiz.order.test.FinAccountTest;1;
org.apache.ofbiz.testtools.ServiceTest;1;
org.apache.ofbiz.testtools.SimpleMethodTest;1;
org.apache.ofbiz.service.test.ServiceEntityAutoTests;1;
org.apache.ofbiz.service.test.ServiceEngineTests;1;
org.apache.ofbiz.product.test.StockMovesTest;1;
org.apache.ofbiz.service.test.XmlRpcTests;1;
org.apache.ofbiz.accounting.test.FinAccountTests;1;
org.apache.ofbiz.order.test.PurchaseOrderTest;1;
org.apache.ofbiz.content.test.LuceneTests;1;
org.apache.ofbiz.service.testtools.OFBizTestCase;1;
;52