Time stamp,2018/07/04 7:06:23 PM OEZ,2018/07/04 9:54:46 PM OEZ,2018/07/05 8:43:53 AM OEZ,2018/07/06 12:04:40 AM OEZ,2018/07/06 10:11:24 AM OEZ,2018/07/10 10:33:54 AM OEZ,2018/07/10 11:37:26 AM OEZ,2018/07/15 8:58:20 AM OEZ,2018/07/17 11:25:02 AM OEZ,2018/07/17 12:00:00 PM OEZ,2018/07/17 12:23:01 PM OEZ,2018/07/17 1:24:19 PM OEZ,2018/07/17 2:11:16 PM OEZ,2018/07/17 5:16:27 PM OEZ,2018/07/17 11:47:56 PM OEZ,2018/07/18 9:15:17 AM OEZ,2018/07/18 1:29:14 PM OEZ,2018/07/19 7:36:04 PM OEZ,2018/07/19 10:19:01 PM OEZ,2018/07/20 5:39:36 PM OEZ,2018/07/24 9:28:35 AM OEZ,2018/07/24 12:54:35 PM OEZ,2018/07/25 8:30:20 AM OEZ,2018/07/25 4:04:11 PM OEZ,2018/07/26 10:45:22 AM OEZ,2018/07/26 10:51:16 AM OEZ,2018/07/26 12:17:18 PM OEZ,2018/07/27 8:52:33 AM OEZ,2018/07/27 10:25:06 AM OEZ,2018/07/27 6:36:57 PM OEZ,2018/07/28 2:15:11 AM OEZ,2018/07/28 5:26:47 AM OEZ,2018/07/30 5:33:39 AM OEZ,2018/07/30 5:54:57 AM OEZ,2018/07/30 6:04:04 AM OEZ,2018/07/30 6:16:20 AM OEZ,2018/07/30 6:28:27 AM OEZ,2018/07/30 6:37:52 AM OEZ,2018/07/30 6:45:15 AM OEZ,2018/07/30 6:53:25 AM OEZ,2018/07/30 10:46:44 AM OEZ,2018/08/01 11:13:21 AM OEZ,2018/08/02 9:55:26 PM OEZ,2018/08/05 9:03:08 AM OEZ,2018/08/07 9:38:34 AM OEZ,2018/08/08 10:07:08 AM OEZ,2018/08/09 9:15:57 AM OEZ,2018/08/13 8:08:58 PM OEZ,2018/08/13 8:46:16 PM OEZ,2018/08/13 8:51:59 PM OEZ,2018/08/13 8:55:31 PM OEZ,2018/08/13 9:00:45 PM OEZ
Participant ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
What is your current job?,Industrial Developer,Other Occupation,Industrial Developer,Other Occupation,Senior Researcher,CS Student,CS Student,Open Source Developer,Senior Researcher,Senior Researcher,Industrial Developer,Industrial Developer,Other Occupation,Senior Researcher,Industrial Developer,CS Student,CS Student,Senior Researcher,Other Occupation,Industrial Developer,Industrial Developer,Senior Researcher,Senior Researcher,Industrial Developer,Senior Researcher,Senior Researcher,Open Source Developer,Industrial Developer,Senior Researcher,Open Source Developer,Industrial Developer,Other Occupation,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Industrial Developer,Open Source Developer,CS Student,Open Source Developer,Industrial Developer,Industrial Developer,Industrial Developer,Open Source Developer,Industrial Developer
"Approximatively, what is the size (in terms of lines of code) of the system you are contributing in most?",50000,"no idea, we never counted",10000,0,2000,"20,000",8000,20000,500000,100K in average considering the various projects.,20000,"150,000",30000,I don't really contribute to a software system when perfirming research,3000,4000,At Uni (1000+). At Work (10'000+),300K LoC,16000,10K of Scala,around 670KLOC...,15000,16000,25,50K,12000,1600KLOC I think (Working ina collaborative and OSS environment).,"1,200,000 - 1,500,000 LOC",50000,150k lines,5000,"100,000+",25000,"45,000","100,000","30,000","55,000","250,000 - 350,000","200,000","800,000 - 1000,000",26000,8,550000,21,276000,15000,130000,10,45000,1400000,14,800000
What is the approximate size of the development team of the system you are contributing to most?,6,6,4,20,3,1,1,4,15,8,2,7,10,"again, I have a research team, not a development team ;(",5000,4,At Uni (1-3 People). At Work (10-20 People).,4,3,5,120,6,1,400KLOC in average per project,5,1,"Not sure, I think > 120 developers ",75,4,20 developers,3,1,8,12,45,14,22,60,Oct-15,80,10,26KLOC,25,410000,30,4,12,300000,5,60,175000,70
How many years of programming experience do you have?,> 8,< 2,> 8,> 8,> 8,Between 5 and 8,Between 2 and 5,Between 2 and 5,> 8,> 8,> 8,> 8,Between 2 and 5,> 8,> 8,Between 5 and 8,Between 2 and 5,> 8,Between 5 and 8,Between 5 and 8,> 8,Between 5 and 8,Between 5 and 8,> 8,> 8,Between 5 and 8,> 8,> 8,Between 5 and 8,> 8,Between 2 and 5,> 8,> 8,> 8,> 8,Between 5 and 8,> 8,> 8,> 8,> 8,Between 5 and 8,> 8,> 8,> 8,> 8,Between 2 and 5,> 8,> 8,> 8,> 8,> 8,> 8
How do you rate your programming experience?,5,1,4,3,4,4,3,3,3,4,4,4,3,5,4,3,3,5,4,5,5,3,4,5,5,5,5,5,4,4,3,5,4,5,5,4,5,4,5,5,4,5,5,5,5,3,4,4,5,5,5,5
What is code review?,"A peer review process to ensure newly committed or changed code:
- does meet the team's definition of done (completeness)
- does meet the standards defined by the team for the project (quality)
- is easily understandable and not overly clever (principle of least surprise)
- is adequate to solve the problem at hand","An opportunity to catch issues, share knowledge and expertise, improve code quality, ensure code conventions for comprehensibility and maintainability (can be automated), catch lacking test automation coverage, catch duplication, etc.","A step in the software development process, where the code is checked by a second developer in order to spot any issues before acceptance tests.",Reviewing the code for the standards and logic,An inspection process for checking that the new code meets the standards of the codebase.,The process of reading code written by others in order to improve it's quality and fix potential errors.,"Checking new code for correctness, adequacy and quality (e.g. lenght, programming patterns)",Intensive code inspection of change of another person --> Quality assurance and opinion exchange,"the systematic process of investigating code to establish its quality, its quantities, as well as classifying its problems","Manual inspection of code written by other people, this to improve the overall quality of the production/test code and related artifacts (e.g., the documentation)",Peer review of the source code.,The process of checking code for quality properties by one or more people who did not write the code being checked.,Systematic examination of source code belonging to a change,It is the practice of reviewing code to avoid bugs and inconsistencies with the software project,process of code analyse and change suggestion based on requirements and metrics.,"inspection of source code through at least one other developer (i.e., non-author)",Reviewing the code written by other developers in order to improve the quality and decrease the number of defects. ,"That's a complex question. :) Technically, a code review is two (or more) people going over a set of changes (""reviewer(s)"" and ""implementer"") to decide whether these changes can be merged back into the main development line. The reason why code reviews are conducted strongly depends on the project and is typically much more complex than just checking the correctness of the code.",Code Review is a common Software Engineering practice involving external people inspecting software developed by other in order to find defects or improve the quality of the code itself,"Code review is the process of getting approvals from one's peers on one's code. This process involves questions, suggestions, and modifications on the new code to be integrated in the project.","A development practice in which developers focus on discovering bugs, defects and other mistakes in the code written by other developers. This can be done in person or via online meeting, or some automated tool support (e.g., Gerrit).",a development practices where developers inspect code to improve its quality,"I have no idea, I have never done a code review and never had my code reviewed (the downside of research prototype developments)",Manual inspection of code written by other developers. The inspection is usually made by more developers to let less experienced one improve their code quality.,"Code review is systematic examination (sometimes referred to as peer review) of computer source code. It is intended to find mistakes overlooked in software development, improving the overall quality of software. Reviews are done in various forms such as pair programming, informal walkthroughs, and formal inspections.",A process of inspecting source code.,A semi automated process performed to detect defects or imperfections in the code. I mainly use Gerrit for it in my main projects.,"A software development practice aimed at improving the code of other developers, especially the one of junior developers. Code Review is also not the place to ask for implementing new features.",A systematic examination of code before being merged in a project. ,"An tech-assisted means of verifying that new code has correct design and functions correctly.  It involves both automated testing, and manual review by other developers.",To validate the approach taken by a fellow developer to provide feedback with the goal of ensuring consistency and cohesion amongst a team of developers,"Secondary set of eyes looking at code or find issues: coding, security,and Corp standards",code inspection to find imperfections in the code,importance dev practise to  get feedback on our code from more experienced developers...,important practise to improve quality of our software and sharing knowledge.,we do it to improve technical and social skills in the team.,"formal or semiformal way to sharing experience on how to write better test, production code, documentation and othe rartifacts","we do it for teach newcomers programming practices, sharing knowledge and improve the software product.",review of code written by colleagues.,a way to share information between developers' teams distributed in different geographic regions and for improving their code.,"reading over the code of another developer, looking for mistakes, checking correct house-styles and testing the functionality.",a practice to help developers improve their code.,important activity to improve the code.,practice useful to help improve code of collegues or junior developers,very useful practise to improve the code or product of our ongoing projects...,a systematic inspection of code written by other developers aimed at improving the software quality,important task for sharing knowledge between developers and improve the test and production code.,activity aimed at support team collaborations and quality of software products,inspection of code,reviewing code/patches of others,consists in reviewing the code of collegues,systemating reviewing activities on code written by others
Do you think the taxonomy covers all changes that occur in code review?,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"If your previous answer was ""No"", please explain why you think the taxonomy is not exhaustive? Otherwise, you can also send us a modified version of the taxonomy per e-mail to","- One thing I miss is cleanup/refactoring of the actual git commit graph, e.g. interactive rebase, squashing etc. (depending on team conventions)
- even though this is covered by ""non-source files"" -> ""config files"" -> ""others"" I would consider adding runtime configuration (docker configs, ansible playbooks, deployment configs) as a separate item in config section","It's quite comprehensive, but I don't think it can or even should be exhaustive. Also, I don't agree with some terminology used; like what is source code and what is ""outside"". In my opinion a lot more files belong to the application's source. Example: config files or library versions to build the application.",typos,Style and logic,,,Perhaps it's included in Larger Defects: Completeness but I think that many good code reviews are covering edge cases and that the solution is covering the whole problem. --> Maybe that part could be expanded.,,,,,"How would you categorize a review comment like 'This function needs log messages'? Maybe that's 'New Functionality' (if there aren't logging statements already), maybe it's 'Standard Coding Conventions' (if there's a logging standard for the project), maybe there should also be a 'Logging' category as there is for Testing.",,"I think the taxonomy covers a good part of the code reviewing process, but you could add something about ""versioning"".  I remember when I worked as a software developer, the header of the Java classes should contain the most recent SVN version that they were modified. I know this information could probably be fetched from the SVN itself, but maybe the company wants to quickly identify the latest revision of the file.",One of big types of code change come from side effect of another code change. domino effect has occur (most time in long period of time). ,IMHO: GUI defects are not necessarily large defects,,"The changes seem to be oriented on what you would get from a ""diff viewer"", I think you are missing more semantic changes. In my experience, code reviews often result in a change to the system architecture, like splitting an interface into two distinct interfaces, introducing abstractions, or the inclusion of design patterns. These more ""object-oriented"" changes are missing right now in the taxonomy.",,,"I have to say that the completeness of the taxonomy depends some time on the specific software organization: in general most software software look at the above aspects during code review, however, specific companies could have more specific requirements. Let's for example consider a company working on self-driving cars, in that case code review will require also to observe potential security and or testing issues, an aspect not considered massively in this taxonomy. I would consider to add also changes in the taxonomy that could be relevant also for less general software companies.",,,,,/,"Partially... we mainly care, with the same importance, to
-Documentation and coding style. 
-Architecture patterns.
-Error handling.
-Test coverage. 
-Performance monitoring.
-Security. ",,,"Should mention functional or integration testing, where software is integrated as it would be in production, and run against a battery of automated tests.",,Security is a major aspect,,maybe security is something we care also..,,,"performance and security are missing i think, Is ASATs static analysis? In some cases the acronyms do not help understanding what actually there is in the taxonomy.",,,,,,,,,,,,,,,
"In your opinion, issues regarding which Categories/Topics (above taxonomy) occur the most inside code review? Please create a ranking listing the 5 most frequent ones.","Testing, Refactorings, Best practice, Bug-Fix, Config files/Language specific","Best practice, refactoring, bug fix, testing, code documentation","Best Practice 5
Testing 3
Refactoring 2",Logic,"style, complex code, consistency, new functionality, completeness",Style / Solution Approach / Check / Organization / Documentation,"Styling issues; 
Organization: Complex Code;
Textual Documentation: Comments;
Larger Defects: Completeness
Solution Approach: Semantic Duplication; 
","1. Solution approach, 2. Organization, 3. Check, 4. Interface, 5. Logic",I did not understand this question,"Style (all of them), documentation-testual documentation, structure (semantic-dead code, testing, coding conventions and all topics in organization), runtime configurations,  some time, data & resource manipulation","Data & Resouce Manipulation, Algorithmic Performance, New Functionality, Consistency, Move Functionality","Standard Coding Conventions, Refactoring (expressed in taxonomy by Semantic Duplication, Semantic Dead Code), Complex Code/Simplification",Style; Textual Documentation; Solution Approach; Larger Defects; Interface,"1 - Solution approach
2 - Organization
3 - Resource
4 - Interface
5 - Style
6 - Documentation",Refactor; Dead code; Duplicates; all part of Logic; new functionally (if you do not means classification functional/non-factional requirements),1) Style 2) Structure 3) Documentation 4) Resource 5) Check,Style > Structure > Resource > Logic > Documentation,"Testing (most frequent), design (not covered), solution approach, Naming, style","Complex code/simplification, algorithm/performance, standard coding conventions, move functionality, consistency","Standard Coding Convention
Naming
Move Functionality
Completeness
Consistency","style, documentation and structure are the most recurrent with focus on testing and quality of code :) Other changes should be more elaborate, with more appropriate descriptions, ad in the other parts of the taxonomy. I also thing that in some cases, ""interface, logic and resource are also important aspect""..","docum, style, structure, logic, check (and also configuration aspectes related to the CR itself, e.g., the configuration of ASATs)",N.A,"Documentation, style, structure, resources, logic (I would put here at the same level of logic also tools and runtime configurations)","Algorithm and Performance, comments, semantic duplication, consistency, , semantic dead code","style, structure, logic","we mainly care, with the same importance, to 
-Documentation and coding style.
-Architecture patterns. - structure
-Error handling. - defect
-Test coverage. 
-Performance monitoring.
-Security. ","Best practices and design pattern usage - structure
Performance
Correctness in unanticipated cases - defects
Documentation & coding style
Maybe also Security issues (I do not see it here in the taxonomy..)","Logic, Interface, maintainability, style, structure,  ","From an automated tools: Code coverage, and ""lint"" (style and structure) tests that can be generated by automated 

From humans: documentation and design/organization issues","Logic, Organization, Solution Approach, Textual Documentation, Style",Security,"structure, style/documentation, interface, logic, resources","In order: doc/style/structure, interface, logic, resource, security, check large defect, configuration ASATs and CD/CI scripts","style, documentation, logic, structure, and performance","style, structure, logic, resource, check","performance, security, style, documentation, logic","doc, style structure, resource, large defects.","doc, styl, structure, interface, logic BUT also resources and large defects","resources, logic, structure, check, style","Style, Solution approach, Logic, Check and Larger Defects","documentation, structure, resources, check, defects","performance, gui, logic, style, configuration","doc, structure, resource, other changes, resources","style, structure, logic, other changes ","other (configuration cd/ci and asat configuration), doc, structure, resources, logic","other changes (cd/ci configurations, runtime, static analysis configurations )
structure (test and production code)
documentation
logic
resources

Code review is less about defects I think.","CD/CI configurations, documentation, structure, resource, interface","logic, resource, other configuration, structure","resource, configuration, structure, documentation and logic","structure, documentation, logic, interface, resources","other changes (configuration cd/ci and static analysis tools), resources, logic, check, structure"
What kind of feedback do you expect from other developers during code review?,"High-Level feedback about structure, completeness, clean code aspects",Anything that they see could be improved; provided in a constructive way,"Missed of possible business cases
Not enough code coverage
Existing / Simpler solutions",Review comments ,The main one is to check consistency of my code with the codebase.,Error corrections and input for better/different coding approaches,"Feedback on how to improve efficiency (shorten code);
What edge cases they thought about;
Useful programming patterns / ideas for other problems (it's already ""too late"" for this one)","- Clean Code Feedback
- Logic testing --> Does it make sense?
- Suggestion to rewrite it in a cleaner way
- Styling feedback",whether my classifications and understanding is correct,"On the style, documentation, structure (duplicated-dead code, testing, coding conventions and all topics in organization), test/code quality in general, recommendation about runtime configurations, data & resource utilisation, ASAT configuration.",Brief and constructive. I need to know the exact reasoning behind the requested change.,"Specifics about changes needed in the code, general comments about opportunities to improve my coding.",Solution-based feedback ,I expect a clear feedback on how to improve my current solution,just report of changes,"Suggestions to improve the readability (and thus maintainability) of code, raising quality concerns","Do you understand what I have done? (documentation, structure and logic wise => also for maintaining it in the future)
Does my work make sense i.e. is it efficient for the task? (rating resource management, unnecessary looping, etc.)
Possible ways to improve the solution/fix/commit...","I strongly prefer face-to-face code reviews rather than tool supported code reviews. CR is a very communicative process, in which the implementer presents his work, the reviewer questions design decisions and based on the answers one or the other is convinced that the current version is fine or should be further improved.","Feedback about improving design of a solution (in the sense of interface usage for instance, or some design pattern application); improving a given implementation with less space and time complexity",I like to get feedback on whether my code can be written in a better way such that it runs faster or it reads better.,"Any feedback on my coding style, the accuracy comprehensibility of the documentation, my code structure, the quality of my test and production code with some check on the logic and resource consumption of the proposed solution/patch.","while I usually receive feedback on docum, style, structure, would be useful to have in general more feedback on logic, check, testing and production code quality.",N.A,"Anything to improve my code style and quality, in general recommendation on how to write better code and if possible,  (and even partial) alternative solutions to the problem addressed in the patch.",potential (performance) bug and design problem,Mostly regarding comprehensibility issues,"I would like to share our experience a little bit. We are doing code review for a few years now we have the following goals in this process:

1)To predict unexpected app behavior, 2)To avoid annoticed critical bugs 3)To avoid app crash in final production. 4)Easy adding of the new functionality.

 Our code review process involves line-by-line code analysis, a source code review checklist, and documentation for suggesting improvements. Thus, what we expect from other developers recommendation on:
-Documentation and coding style.
-Architecture patterns. - structure
-Error handling. - defect
-Test coverage. 
-Performance monitoring.
-Security.
","This is our process description and expectations in CodRewiews:

Developers code features separate from the validated-code

When developer is ready, he/she marks feature as complete in our issue-tracker

Developer checks-in the code (production and test code for quality issues, e.g., 
structure, coverage, etc.)

""An automated build is triggered to run our unit-tests, and runs some automated quality-checks. When this fails the developer is notified, and requested to fix issues. Ideal shoul would happen in isolation. So if one developer breaks the build, this should not affect the other developers working on the same project.""
I think some sort of automation should be provided before this process to the developers in my opinion.

When the build is ok, a ""manager"" is informed that there is a new feature ready. He checks the quality of the code, and checks if the feature is working as expected. If there are issues, these are send to the developer to correct them. If everything is ok, the manager commits the new feature to the ""main""-branch.
",If there are problems with the code,"Validation that the design approach taken is the correct one, and bringing up issues or cases that hadn't been considered in the design.  Fixes to documentation.",It depends on my skill level in the particular language and framework. When I'm less experienced Style and Textual Documentation. When I'm more experienced Organization and Solution Approach.,Better ways to do things ,"structure, style/documentation, interface, logic, resources, security aspect, feedback on how to improve performance of my code (if possible), quality of test and production code...","feedback on doc/style/structure, interface, logic, resource, security, check large defect, configuration ASATs and CD/CI scripts","at least feedback on style, documentation, logic but in some case would be nice on performance and quality of test and production code","on any of the topics in the taxonomy possible, but usually I receive feedback on style, structure, logic, check","clearly, feedback on performance, security, style, documentation, logic
","on all : doc, style structure, resource, large defects.","mainly doc, styl, structure, interface, logic BUT also resources and large defects","resources, logic, structure, check, style and quality of test code.",Comments on each error made in the code and comments if something can be improved.,feedback on all aspect of the taxonomy..,"usually i receive them on ""logic, style, configuration""","feedback on all elements of the taxonomy possibly, but at least on ""doc, structure, resource, other changes, resources""","look at my code, see what to improve, for example suggesting refactoring, something not really working in the logic of my code (especially in potentially cloned code), detect redundant/cloned/useless code (to simplify it).",to improve my code,"feedback on:

other changes (cd/ci configurations, runtime, static analysis configurations )
structure (test and production code)
documentation
logic
resources",any feedback on the taxonomy,all elements of the taoxnomy,whole elements of the taxonomy.,do not know/do not want to say,feedback in all elements of the taxonomy
What kind of feedback do you usually receive from other developers during code review?,"Questions about how/why something works (hinting to code readability issues), naming suggestions, hints about missing tests or possible bugs",None as I rarely am on the receiver side,"Typos, Missing Tests",Review comments ,Feedback regarding style or completeness.,Error corrections and input for better/different coding approaches,short statements if it suffices in terms of quality and completeness.,"- Clean Code Feedback
- Logic testing --> Does it make sense?
- Suggestion to rewrite it in a cleaner way
- Styling feedback

I guess the same as I expect=)",confirmation and examples,"style, test/code quality in general...","Mostly constructive, sometimes blunt. But that is alright, as long as the code base gets better.","Specifics about changes needed in the code, general comments about opportunities to improve my coding.",Point out problems with the code without suggestions related to how to fix the problems,whether my current solution is good and how can I improve it to make it even better,,,If they are ok with the changes. If the amount of documentation is sufficient and precise enough. If they agree with the approach of the solution to fix the problem. Tips and improvements...,See last answer.,"Feedback about design of a solution (usage of delegation, composition and abstraction in general)","Mostly I receive questions on why certain things are done the way they are. In other words, my peers require clarifications on the design decisions that I made. Another type of feedback is regarding the coding style and where functionalities should be placed","Usually on my coding style, the accuracy comprehensibility of the produced/updated documentation, my code structure, the quality of my test and production code"," I usually receive feedback on docum, style, structure",,"Usually, it depends from the developers experience, but in most cases comments are related to code style, documentation and logic of the code.",no much,/,"mainly recommendation on:
-Documentation and coding style.
-Error handling. - defect
-Test coverage. 
- some time on Security aspects
","Developer checks-in the code (production and test code for quality issues, e.g., 
structure, coverage, etc.), Documentation & coding style

In some rare cases feedback also on:

Performance
Correctness in unanticipated cases - defects
Security issues
",Feedback about potential problems or suggestions for improvement ,Usually the kinds mentioned above.,"Sometimes it can be very opinionated towards specific user styles, which are never quite the same across the whole team or department.
